link_to_country,country,fips,continent,include?,city,lat,long,rank_within_country,link_to_city,population_city
http://www.geonames.org/GB/largest-cities-in-united-kingdom.html,United Kingdom,UK,EU,yes,London,51.509,-0.126,2,http://www.geonames.org/2643743/london.html,7556900
http://www.geonames.org/GB/largest-cities-in-united-kingdom.html,United Kingdom,UK,EU,def,Birmingham,52.481,-1.9,3,http://www.geonames.org/2655603/birmingham.html,984333
http://www.geonames.org/US/largest-cities-in-united-states.html,United States,US,NA,def,Phoenix; Arizona,33.448,-112.074,9,http://www.geonames.org/5308655/phoenix.html; http://www.geonames.org/US/AZ/largest-cities-in-arizona.html,1445632
http://www.geonames.org/CA/largest-cities-in-canada.html,Canada,CA,NA,yes,Calgary,51.05,-114.085,3,http://www.geonames.org/5913490/calgary.html,1019942
http://www.geonames.org/US/largest-cities-in-united-states.html,United States,US,NA,yes,Los Angeles; California,34.052,-118.244,2,http://www.geonames.org/5368361/los-angeles.html; http://www.geonames.org/US/CA/largest-cities-in-california.html,3792621
http://www.geonames.org/CA/largest-cities-in-canada.html,Canada,CA,NA,def,Vancouver,49.25,-123.119,9,http://www.geonames.org/6173331/vancouver.html,600000
http://www.geonames.org/SN/largest-cities-in-senegal.html,Senegal,SG,AF,def,Dakar,14.694,-17.444,1,http://www.geonames.org/2253354/dakar.html,2476400
http://www.geonames.org/GB/largest-cities-in-united-kingdom.html,United Kingdom,UK,EU,yes,Liverpool,53.411,-2.978,5,http://www.geonames.org/2644210/liverpool.html,468945
http://www.geonames.org/IS/largest-cities-in-iceland.html,Iceland,IC,EU,def,Reykjavik,64.135,-21.895,1,http://www.geonames.org/3413829/reykjavik.html,118918
http://www.geonames.org/GB/largest-cities-in-united-kingdom.html,United Kingdom,UK,EU,def,Edinburgh,55.952,-3.196,8,http://www.geonames.org/2650225/edinburgh.html,435791
http://www.geonames.org/ES/largest-cities-in-spain.html,Spain,SP,EU,def,Madrid,40.417,-3.703,1,http://www.geonames.org/3117735/madrid.html,3255944
http://www.geonames.org/GB/largest-cities-in-united-kingdom.html,United Kingdom,UK,EU,yes,Glasgow,55.865,-4.258,4,http://www.geonames.org/2648579/glasgow.html,610268
http://www.geonames.org/BR/largest-cities-in-brazil.html,Brazil,BR,SA,yes,Rio de Janeiro,-22.903,-43.208,2,http://www.geonames.org/3451190/rio-de-janeiro.html,6023699
http://www.geonames.org/BR/largest-cities-in-brazil.html,Brazil,BR,SA,yes,São Paulo,-23.547, ,1,http://www.geonames.org/3448439/sao-paulo.html,10021295
http://www.geonames.org/BR/largest-cities-in-brazil.html,Brazil,BR,SA,yes,Brasília,-15.78,-47.93,6,http://www.geonames.org/3469058/brasilia.html,2207718
http://www.geonames.org/GL/largest-cities-in-greenland.html,Greenland,GL,NA,def,Nuuk,64.183,-51.722,1,http://www.geonames.org/3421319/nuuk.html,14798
http://www.geonames.org/AR/largest-cities-in-argentina.html,Argentina,AR,SA,yes,Buenos Aires,-34.613,-58.377,1,http://www.geonames.org/3435910/buenos-aires.html,13076300
http://www.geonames.org/IE/largest-cities-in-ireland.html,Ireland,EI,EU,yes,Dublin,53.333,-6.249,1,http://www.geonames.org/2964574/dublin.html,1024027
http://www.geonames.org/BO/largest-cities-in-bolivia.html,Bolivia,BL,SA,yes,Santa Cruz,-17.786,-63.181,1,http://www.geonames.org/3904906/santa-cruz-de-la-sierra.html,1364389
http://www.geonames.org/MA/largest-cities-in-morocco.html,Morocco,MO,AF,def,Casablanca,33.588,-7.611,1,http://www.geonames.org/2553604/casablanca.html,3144909
http://www.geonames.org/CA/largest-cities-in-canada.html,Canada,CA,NA,def,Montreal,45.509,-73.588,2,http://www.geonames.org/6077243/montreal.html,1600000
http://www.geonames.org/US/largest-cities-in-united-states.html,United States,US,NA,def,New York; New York,40.714,-74.006,1,http://www.geonames.org/5128581/new-york-city.html; http://www.geonames.org/US/NY/largest-cities-in-new-york.html,8175133
http://www.geonames.org/US/largest-cities-in-united-states.html,United States,US,NA,ma,Philadelphia; Pennsylvania,39.952,-75.164,7,http://www.geonames.org/4560349/philadelphia.html; http://www.geonames.org/US/PA/largest-cities-in-pennsylvania.html,1526006
http://www.geonames.org/JM/largest-cities-in-jamaica.html,Jamaica,JM,NA,yes,Kingston,17.997,-76.794,1,http://www.geonames.org/3489854/kingston.html,937700
http://www.geonames.org/PE/largest-cities-in-peru.html,Peru,PE,SA,yes,Lima,-12.043,-77.028,1,http://www.geonames.org/3936456/lima.html,7737002
http://www.geonames.org/CA/largest-cities-in-canada.html,Canada,CA,NA,yes,Toronto,43.7,-79.416,1,http://www.geonames.org/6167865/toronto.html,2600000
http://www.geonames.org/PA/largest-cities-in-panama.html,Panama,PM,NA,yes,Panama City,8.994,-79.52,1,http://www.geonames.org/3703443/panama.html,408168
http://www.geonames.org/CU/largest-cities-in-cuba.html,Cuba,CU,NA,yes,Havana,23.133,-82.383,1,http://www.geonames.org/3553478/havana.html,2163824
http://www.geonames.org/US/largest-cities-in-united-states.html,United States,US,NA,def,Chicago; Illinois,41.85,-87.65,3,http://www.geonames.org/4887398/chicago.html; http://www.geonames.org/US/IL/largest-cities-in-illinois.html,2695598
