url,year,percentage
"http://www.trendlist.org/trends/left-right-up-down
",2016,1
"http://www.trendlist.org/trends/left-right-up-down
",2015,8
"http://www.trendlist.org/trends/left-right-up-down
",2014,13
"http://www.trendlist.org/trends/left-right-up-down
",2013,13
"http://www.trendlist.org/trends/left-right-up-down
",2012,12
"http://www.trendlist.org/trends/left-right-up-down
",2011,9
"http://www.trendlist.org/trends/left-right-up-down
",2010,4
"http://www.trendlist.org/trends/left-right-up-down
",2009,1
"http://www.trendlist.org/trends/left-right-up-down
",2008,0
"http://www.trendlist.org/trends/left-right-up-down
",2001,0
"http://www.trendlist.org/trends/left-right-up-down
",N/A,24878048780488
"http://www.trendlist.org/trends/various-formats
",2016,0
"http://www.trendlist.org/trends/various-formats
",2015,5
"http://www.trendlist.org/trends/various-formats
",2014,9
"http://www.trendlist.org/trends/various-formats
",2013,8
"http://www.trendlist.org/trends/various-formats
",2012,8
"http://www.trendlist.org/trends/various-formats
",2011,8
"http://www.trendlist.org/trends/various-formats
",2010,7
"http://www.trendlist.org/trends/various-formats
",2009,4
"http://www.trendlist.org/trends/various-formats
",2008,2
"http://www.trendlist.org/trends/various-formats
",2007,1
"http://www.trendlist.org/trends/various-formats
",2006,1
"http://www.trendlist.org/trends/various-formats
",2005,0
"http://www.trendlist.org/trends/various-formats
",2004,0
"http://www.trendlist.org/trends/various-formats
",2003,0
"http://www.trendlist.org/trends/various-formats
",2001,0
"http://www.trendlist.org/trends/various-formats
",1990,0
"http://www.trendlist.org/trends/various-formats
",N/A,32329766536965
"http://www.trendlist.org/trends/exposed-content
",2016,0
"http://www.trendlist.org/trends/exposed-content
",2015,6
"http://www.trendlist.org/trends/exposed-content
",2014,9
"http://www.trendlist.org/trends/exposed-content
",2013,9
"http://www.trendlist.org/trends/exposed-content
",2012,11
"http://www.trendlist.org/trends/exposed-content
",2011,11
"http://www.trendlist.org/trends/exposed-content
",2010,10
"http://www.trendlist.org/trends/exposed-content
",2009,3
"http://www.trendlist.org/trends/exposed-content
",2008,2
"http://www.trendlist.org/trends/exposed-content
",2007,1
"http://www.trendlist.org/trends/exposed-content
",2006,1
"http://www.trendlist.org/trends/exposed-content
",2005,0
"http://www.trendlist.org/trends/exposed-content
",2004,0
"http://www.trendlist.org/trends/exposed-content
",N/A,23134020618557
"http://www.trendlist.org/trends/frame
",2016,0
"http://www.trendlist.org/trends/frame
",2015,5
"http://www.trendlist.org/trends/frame
",2014,11
"http://www.trendlist.org/trends/frame
",2013,14
"http://www.trendlist.org/trends/frame
",2012,14
"http://www.trendlist.org/trends/frame
",2011,7
"http://www.trendlist.org/trends/frame
",2010,3
"http://www.trendlist.org/trends/frame
",2009,1
"http://www.trendlist.org/trends/frame
",2008,0
"http://www.trendlist.org/trends/frame
",2007,0
"http://www.trendlist.org/trends/frame
",2006,0
"http://www.trendlist.org/trends/frame
",2005,0
"http://www.trendlist.org/trends/frame
",2004,0
"http://www.trendlist.org/trends/frame
",2001,0
"http://www.trendlist.org/trends/frame
",1995,0
